x,y,z
30.58,-12.88,984.01
30.70,-13.49,984.68
32.96,-14.53,984.80
30.15,-11.96,984.68
15.93,-13.12,983.03
31.07,-12.39,982.60
31.98,-13.06,985.53
29.91,-13.12,983.95
30.33,-13.37,985.11
31.49,-13.73,984.13
30.64,-14.83,984.74
30.09,-12.15,985.23
29.85,-15.69,983.52
29.79,-12.76,984.25
30.64,-15.32,984.44
30.76,-12.21,986.27
31.37,-12.51,983.89
30.94,-13.73,983.89
31.56,-13.55,984.01
33.39,-14.40,986.21
30.88,-15.56,983.89
31.43,-12.33,985.11
31.68,-13.73,983.64
32.53,-13.37,984.80
27.77,-13.24,985.05
30.21,-12.27,985.41
31.68,-12.51,986.15
31.56,-12.39,983.22
31.98,-14.28,984.07
30.40,-12.33,985.29
29.72,-10.68,984.92
28.50,-11.72,984.99
30.27,-13.92,982.30
30.70,-12.82,984.44
30.94,-12.45,984.25
30.58,-14.77,985.66
28.81,-12.39,984.19
31.86,-12.39,983.83
32.47,-13.85,982.97
31.37,-14.22,985.53
29.42,-12.21,984.92
31.92,-13.24,984.68
30.33,-12.88,984.31
46.08,-11.72,985.47
30.82,-12.82,985.11
31.68,-11.54,983.64
31.68,-12.39,984.13
30.70,-13.73,984.13
30.03,-13.61,984.56
31.37,-13.12,986.82
32.90,-12.76,983.76
30.52,-12.88,985.47
31.43,-12.63,984.68
30.15,-14.77,982.48
31.19,-12.88,983.40
30.03,-11.54,985.66
30.94,-14.28,985.96
29.97,-12.82,983.89
30.40,-11.47,985.66
31.62,-12.08,985.29
29.11,-13.49,985.66
30.33,-12.15,985.47
31.80,-13.00,986.57
32.23,-13.92,984.80
33.39,-12.88,985.60
30.40,-12.45,984.86
28.81,-13.98,982.42
30.09,-13.49,986.33
32.17,-11.90,985.29
30.94,-12.57,983.64
30.03,-12.57,984.86
30.15,-14.95,986.45
30.09,-14.04,984.50
31.13,-13.85,984.92
30.15,-12.21,984.86
31.43,-12.39,981.08
32.47,-11.35,984.44
30.94,-14.71,984.56
30.09,-13.49,984.56
29.97,-13.06,982.36
31.68,-13.67,985.47
31.86,-12.57,984.07
28.93,-9.95,983.22
30.40,-10.93,984.74
32.23,-12.70,984.37
31.68,-14.34,984.01
30.03,-12.94,985.05
31.68,-12.15,985.66
30.94,-10.80,984.56
30.27,-11.47,985.17
31.25,-12.51,980.83
29.36,-11.90,984.86
29.97,-12.82,983.40
30.76,-13.00,986.21
30.64,-13.61,983.22
31.80,-13.37,983.28
30.58,-14.04,985.41
29.54,-12.15,982.91
31.74,-11.96,985.53
30.88,-11.90,984.62
32.10,-14.47,983.40
29.91,-11.47,982.67
31.37,-12.88,984.86
31.62,-13.43,983.46
29.17,-13.43,984.86
30.94,-12.51,983.09
31.31,-12.21,983.95
30.82,-11.54,984.25
31.37,-11.96,983.03
30.82,-13.24,984.37
29.30,-14.59,983.70
30.94,-12.33,985.29
31.74,-14.95,983.15
31.01,-11.41,983.95
30.88,-14.65,985.47
29.17,-12.88,984.37
30.64,-15.14,984.07
30.76,-11.90,982.91
30.33,-13.43,984.62
32.17,-12.76,985.41
29.72,-12.08,983.46
28.20,-13.24,985.53
29.54,-12.15,984.80
32.29,-13.98,982.54
30.21,-12.76,985.72
29.66,-11.96,983.40
33.87,-12.76,982.79
31.92,-12.63,984.80
31.62,-12.21,984.86
30.58,-15.69,984.13
30.88,-12.57,984.92
31.62,-13.37,986.02
30.82,-11.35,983.64
30.15,-12.76,984.37
30.03,-12.76,984.37
30.40,-13.18,986.51
31.92,-14.04,984.62
29.97,-12.88,986.82
31.19,-14.04,985.29
30.70,-13.61,986.21
31.31,-13.61,986.63
31.49,-15.08,985.17
30.70,-13.18,983.89
31.19,-12.45,984.19
30.21,-12.08,982.36
30.76,-14.89,985.53
31.43,-13.43,983.70
30.03,-12.76,984.92
30.94,-11.78,985.78
32.59,-15.87,984.80
31.62,-12.76,985.17
30.46,-13.24,984.86
31.62,-13.49,983.95
30.33,-12.45,984.50
30.70,-12.39,984.62
30.88,-13.00,985.78
31.07,-13.06,985.05
29.17,-13.61,984.86
29.48,-14.16,984.56
30.76,-14.04,985.05
31.74,-13.31,983.40
30.03,-13.55,982.67
30.58,-14.04,985.96
32.17,-14.16,980.77
30.64,-14.89,985.41
29.79,-11.11,985.78
31.80,-13.31,986.94
32.90,-11.90,984.86
30.88,-13.24,984.74
31.37,-13.37,983.89
31.56,-13.18,985.17
31.37,-11.60,984.44
30.15,-13.67,983.46
31.86,-13.31,985.11
30.46,-13.31,984.74
29.72,-12.15,984.99
30.46,-15.14,985.05
30.40,-13.06,984.01
31.31,-13.79,985.41
29.05,-12.57,984.99
30.21,-13.31,984.01
31.86,-11.96,982.85
29.66,-12.45,983.95
28.32,-11.72,985.84
30.21,-13.37,984.25
31.31,-14.65,985.11
30.64,-14.77,984.19
31.25,-12.02,984.25
31.25,-14.59,985.23
31.07,-13.43,984.80
29.91,-12.76,984.07
30.64,-13.61,984.56
30.76,-11.29,987.24
30.94,-12.94,985.23
30.94,-13.79,983.09
30.88,-13.73,984.50
32.29,-13.24,984.99
29.97,-14.16,983.89
31.37,-13.61,984.25
32.41,-13.24,983.64
31.01,-12.82,983.52
30.21,-14.34,982.73
30.70,-11.23,983.22
30.76,-12.94,985.11
29.24,-13.31,983.52
30.82,-11.96,983.95
29.91,-15.56,983.76
30.03,-13.55,984.31
30.94,-12.88,982.97
29.91,-14.71,984.56
30.33,-12.39,984.92
30.03,-11.90,984.37
31.56,-13.00,983.52
29.97,-13.67,987.06
31.92,-11.60,984.68
31.19,-13.73,984.01
