gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
2.772 2.759 0.5576019 0.56326294 0.6018524 0.0326233 0.006210327 -0.0043640137
2.792 2.779 0.52627563 0.6452484 0.675766 0.0326233 0.006210327 -0.0043640137
2.815 2.800 0.36758423 0.4827881 0.69970703 0.0326233 0.006210327 -0.0043640137
2.833 2.820 0.1567688 0.1946106 0.6809845 0.0326233 0.006210327 -0.0043640137
2.852 2.840 -0.015792847 0.0037231445 0.6364441 0.0326233 0.006210327 -0.0043640137
2.872 2.860 -0.08364868 0.014968872 0.5801544 0.0326233 0.006210327 -0.0043640137
2.893 2.880 -0.045043945 0.13015747 0.51065063 0.0326233 0.006210327 -0.0043640137
2.912 2.900 0.06465149 0.2258606 0.4189911 0.0326233 0.006210327 -0.0043640137
2.932 2.920 0.19084167 0.25834656 0.34677124 0.0326233 0.006210327 -0.0043640137
2.952 2.940 0.282547 0.21891785 0.3094635 0.0326233 0.006210327 -0.0043640137
2.972 2.961 0.30967712 0.11911011 0.2878723 0.0326233 0.006210327 -0.0043640137
2.992 2.981 0.30039978 0.0015869141 0.24993896 0.0326233 0.006210327 -0.0043640137
3.012 3.001 0.294281 -0.06478882 0.19767761 0.0326233 0.006210327 -0.0043640137
3.033 3.021 0.279953 -0.060150146 0.11053467 0.0326233 0.006210327 -0.0043640137
3.052 3.041 0.22384644 -0.057891846 0.0025024414 0.0326233 0.006210327 -0.0043640137
3.071 3.061 0.21186829 -0.1234436 -0.11054993 0.0326233 0.006210327 -0.0043640137
3.091 3.081 0.23358154 -0.18902588 -0.19451904 0.0326233 0.006210327 -0.0043640137
3.113 3.102 0.22865295 -0.26455688 -0.2240448 0.0326233 0.006210327 -0.0043640137
3.131 3.122 0.19488525 -0.3837738 -0.21617126 0.0326233 0.006210327 -0.0043640137
3.152 3.142 0.039871216 -0.42375183 -0.25013733 0.0326233 0.006210327 -0.0043640137
3.171 3.162 -0.21566772 -0.2907257 -0.3255005 0.0326233 0.006210327 -0.0043640137
3.192 3.182 -0.3300476 -0.04673767 -0.34584045 0.0326233 0.006210327 -0.0043640137
3.213 3.202 -0.22076416 0.15122986 -0.285614 0.0326233 0.006210327 -0.0043640137
3.232 3.222 -0.072006226 0.16729736 -0.21200562 0.0326233 0.006210327 -0.0043640137
3.253 3.243 -0.06800842 0.07208252 -0.16433716 0.0326233 0.006210327 -0.0043640137
3.273 3.263 -0.29052734 -0.012741089 -0.16085815 0.0326233 0.006210327 -0.0043640137
3.294 3.283 -0.5897064 -0.015350342 -0.1991272 0.0326233 0.006210327 -0.0043640137
3.312 3.303 -0.7098236 0.032852173 -0.24095154 0.0326233 0.006210327 -0.0043640137
3.332 3.323 -0.51516724 0.10295105 -0.2281189 0.0326233 0.006210327 -0.0043640137
3.352 3.343 -0.07444763 0.19540405 -0.16285706 0.0326233 0.006210327 -0.0043640137
3.372 3.363 0.40657043 0.28892517 -0.07672119 0.0326233 0.006210327 -0.0043640137
3.395 3.384 0.73080444 0.34700012 0.010925293 0.0326233 0.006210327 -0.0043640137
3.412 3.404 0.88916016 0.29708862 0.06047058 0.0326233 0.006210327 -0.0043640137
3.431 3.424 0.9429779 0.16329956 0.06871033 0.0326233 0.006210327 -0.0043640137
3.453 3.444 0.81900024 0.023773193 0.023727417 0.0326233 0.006210327 -0.0043640137
3.472 3.464 0.48518372 -0.013549805 -0.073516846 0.0326233 0.006210327 -0.0043640137
3.494 3.484 -0.013320923 0.082336426 -0.15557861 0.0326233 0.006210327 -0.0043640137
3.512 3.504 -0.5181732 0.24685669 -0.1953888 0.0326233 0.006210327 -0.0043640137
3.531 3.525 -0.7983246 0.275589 -0.19160461 0.0326233 0.006210327 -0.0043640137
3.552 3.545 -0.83084106 0.15267944 -0.122177124 0.0326233 0.006210327 -0.0043640137
3.572 3.565 -0.78530884 0.044128418 0.0023956299 0.0326233 0.006210327 -0.0043640137
3.594 3.585 -0.6960602 0.07435608 0.1489563 0.0326233 0.006210327 -0.0043640137
3.612 3.605 -0.53837585 0.18998718 0.2853241 0.0326233 0.006210327 -0.0043640137
3.632 3.625 -0.3149109 0.28967285 0.42144775 0.0326233 0.006210327 -0.0043640137
3.653 3.645 -0.11967468 0.28305054 0.57424927 0.0326233 0.006210327 -0.0043640137
3.673 3.666 0.04321289 0.17301941 0.67881775 0.0326233 0.006210327 -0.0043640137
3.693 3.686 0.16481018 0.041809082 0.67692566 0.0326233 0.006210327 -0.0043640137
3.713 3.706 0.24505615 0.018707275 0.6327667 0.0326233 0.006210327 -0.0043640137
3.733 3.726 0.29873657 0.05682373 0.5753021 0.0326233 0.006210327 -0.0043640137
3.752 3.746 0.2906952 0.09373474 0.47123718 0.0326233 0.006210327 -0.0043640137
3.777 3.766 0.21606445 0.098220825 0.35281372 0.0326233 0.006210327 -0.0043640137
3.793 3.786 0.09239197 0.09631348 0.25897217 0.0326233 0.006210327 -0.0043640137
3.813 3.807 -0.06643677 0.11138916 0.17718506 0.0326233 0.006210327 -0.0043640137
3.831 3.827 -0.15933228 0.18835449 0.15344238 0.0326233 0.006210327 -0.0043640137
3.852 3.847 -0.056762695 0.32087708 0.18675232 0.0326233 0.006210327 -0.0043640137
3.872 3.867 0.24331665 0.5399933 0.28234863 0.0326233 0.006210327 -0.0043640137
3.892 3.887 0.38787842 0.73349 0.38648987 0.0326233 0.006210327 -0.0043640137
3.912 3.907 0.2649536 0.7785187 0.48390198 0.0326233 0.006210327 -0.0043640137
3.932 3.927 -0.06060791 0.6022949 0.59902954 0.0326233 0.006210327 -0.0043640137
3.951 3.948 -0.44299316 0.36012268 0.65327454 0.0326233 0.006210327 -0.0043640137
3.971 3.968 -0.40516663 0.2765503 0.62117004 0.0326233 0.006210327 -0.0043640137
3.993 3.988 0.15603638 0.5609131 0.6412506 0.0326233 0.006210327 -0.0043640137
