gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
7.793 7.787 -2.368042 -5.7885895 1.5587006
7.816 7.807 -2.1118927 -7.034607 1.5074158
7.832 7.828 -2.6008606 -8.699387 1.111206
7.852 7.848 -3.7929077 -8.071762 1.1489716
7.876 7.868 -1.2745361 -2.7664795 0.8557434
7.893 7.888 1.8428497 0.625824 0.2263031
7.914 7.908 3.841751 1.8454895 -0.0046539307
7.934 7.928 4.207535 1.4233704 0.6182709
7.972 7.948 3.55336 0.5386963 1.1373901
7.972 7.969 2.8578339 -0.8607483 1.1740417
8.012 7.989 2.9241333 -1.7368622 1.1326752
8.032 8.009 1.8722687 -2.4687347 -0.22525024
8.052 8.029 0.240448 -1.8931122 -1.0037231
8.072 8.049 -0.4647827 -1.4448242 -0.63998413
8.093 8.069 -0.63316345 -0.84028625 -0.20391846
8.113 8.089 -0.73306274 -0.75442505 -0.32496643
8.132 8.110 -0.48791504 -1.2072754 -0.040924072
8.151 8.130 0.12921143 -2.0762482 -0.12866211
8.174 8.150 0.6517029 -3.4876556 -1.1950989
8.192 8.170 0.7066345 -4.810013 -2.160431
8.212 8.190 0.2489624 -4.1644135 -2.2240753
8.237 8.210 0.38458252 -0.5805664 1.130127
8.257 8.230 0.3115387 -0.113861084 0.27818298
8.272 8.251 0.37806702 -1.0489807 -0.20742798
8.294 8.271 0.633728 -1.6369476 0.39193726
8.313 8.291 0.72106934 -1.7505646 0.7629852
8.335 8.311 0.44363403 -1.5085907 0.36280823
8.353 8.331 0.04966736 -1.1139221 0.17762756
8.373 8.351 -0.2559662 -1.0063629 0.1566925
8.395 8.371 -0.2454834 -1.0662384 0.11785889
8.414 8.392 0.07106018 -0.9027252 -0.027633667
8.437 8.412 0.4590454 -0.49176025 -0.32470703
8.453 8.432 0.70028687 -0.03779602 -0.5383606
8.475 8.452 0.60066223 0.14161682 -0.53996277
8.497 8.472 0.48716736 0.38941956 -0.60020447
8.513 8.492 0.3854065 0.6062012 -0.5435791
8.534 8.512 0.39897156 0.4868164 -0.4827423
8.555 8.533 0.50193787 0.2758484 -0.50535583
8.573 8.553 0.5250702 0.21887207 -0.479187
8.594 8.573 0.5189972 0.23648071 -0.5191345
8.619 8.593 0.47782898 0.31236267 -0.52989197
8.634 8.613 0.4051361 0.35910034 -0.55740356
8.654 8.633 0.34066772 0.4002838 -0.58187866
8.673 8.653 0.43544006 0.3718567 -0.5565338
8.694 8.674 0.61535645 0.37098694 -0.537323
8.714 8.694 0.7488251 0.35614014 -0.5816803
8.734 8.714 0.7356415 0.32357788 -0.6152649
8.755 8.734 0.5897827 0.37690735 -0.55200195
8.773 8.754 0.401886 0.41734314 -0.56658936
8.794 8.774 0.28033447 0.42344666 -0.4920807
8.814 8.794 0.21939087 0.41622925 -0.42633057
8.835 8.815 0.15682983 0.3968506 -0.44049072
8.856 8.835 0.1257019 0.37922668 -0.41604614
8.873 8.855 0.052459717 0.37141418 -0.41349792
8.894 8.875 -0.112960815 0.39678955 -0.3744049
8.918 8.895 -0.2021637 0.31904602 -0.2905426
8.935 8.915 -0.18388367 0.1695404 -0.18563843
8.957 8.935 -0.101760864 0.0030517578 -0.09472656
8.974 8.956 -0.044540405 -0.106781006 -0.04321289
8.999 8.976 -0.0022277832 -0.20718384 0.0013122559
9.014 8.996 0.056533813 -0.3243866 0.078048706
9.034 9.016 0.0778656 -0.40769958 0.16441345
9.054 9.036 0.053024292 -0.4685669 0.20355225
9.075 9.056 -0.008071899 -0.51065063 0.18203735
9.099 9.076 -0.06048584 -0.52053833 0.11972046
9.115 9.097 -0.07640076 -0.50816345 0.07489014
9.135 9.117 -0.040908813 -0.48043823 0.04916382
9.154 9.137 0.05567932 -0.43804932 0.012557983
9.173 9.157 0.13977051 -0.39242554 -0.051193237
9.199 9.177 0.14317322 -0.31723022 -0.14328003
9.214 9.197 0.097229004 -0.20193481 -0.22769165
9.235 9.217 0.07849121 -0.100372314 -0.27877808
9.255 9.238 0.12921143 -0.04949951 -0.27304077
9.274 9.258 0.23606873 -0.06262207 -0.21688843
9.296 9.278 0.3005829 -0.110198975 -0.18127441
9.315 9.298 0.31632996 -0.16075134 -0.17593384
9.335 9.318 0.28648376 -0.21746826 -0.1854248
