gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
7.311 7.295 0.009613037 0.12966919 -0.09698486
7.332 7.315 0.025909424 0.14355469 -0.14524841
7.353 7.336 0.033569336 0.15452576 -0.1328888
7.373 7.356 0.06729126 0.16693115 -0.094329834
7.393 7.376 0.11720276 0.1723938 -0.04927063
7.418 7.396 0.14744568 0.14945984 0.015380859
7.438 7.416 0.08711243 0.11155701 0.0864563
7.452 7.436 -0.031066895 0.07434082 0.13375854
7.470 7.456 -0.06687927 0.064834595 0.121520996
7.490 7.477 -0.002822876 0.111465454 0.069610596
7.516 7.497 0.037490845 0.14968872 0.031723022
7.534 7.517 0.0072021484 0.12896729 -0.002319336
7.553 7.537 -0.028839111 0.14079285 -0.04901123
7.570 7.557 0.005004883 0.21147156 -0.08152771
7.597 7.577 0.10699463 0.26112366 -0.071014404
7.611 7.597 0.20567322 0.27453613 -0.04396057
7.630 7.618 0.28697205 0.30140686 0.014877319
7.650 7.638 0.29951477 0.36801147 0.09248352
7.670 7.658 0.22215271 0.45542908 0.17118835
7.696 7.678 0.15867615 0.5102539 0.2336731
7.713 7.698 0.15438843 0.51734924 0.23606873
7.731 7.718 0.24327087 0.4666748 0.18359375
7.752 7.738 0.37800598 0.37742615 0.14775085
7.770 7.759 0.5640259 0.33200073 0.2528534
7.797 7.779 0.78749084 0.53775024 0.38404846
7.811 7.799 0.89442444 0.6294403 0.47784424
7.832 7.819 1.0155945 0.4937439 0.50076294
7.850 7.839 1.0212708 0.32791138 0.4541626
7.870 7.859 0.8933258 -0.29354858 0.46040344
7.891 7.879 0.6749573 -0.74427795 0.45726013
7.910 7.900 0.4328766 -0.44326782 0.40678406
7.932 7.920 0.38916016 -0.10964966 0.42138672
7.954 7.940 0.43717957 -0.16130066 0.38542175
7.972 7.960 0.0942688 -0.26617432 0.21524048
7.996 7.980 -0.33763123 -0.21803284 0.061172485
8.011 8.000 -0.5595703 0.065078735 -0.122024536
8.035 8.020 -0.40223694 0.41841125 -0.177948
8.062 8.041 -0.25627136 0.6504059 -0.09324646
8.070 8.061 -0.18655396 0.53359985 0.081207275
8.090 8.081 -0.15808105 0.4522705 0.16430664
8.111 8.101 -0.042037964 0.59928894 0.15032959
8.132 8.121 0.09710693 0.7516937 0.19488525
8.151 8.141 0.058380127 0.83865356 0.2924652
8.171 8.161 -0.10417175 0.82270813 0.446167
8.191 8.182 -0.06942749 0.8757019 0.45840454
8.213 8.202 0.039215088 1.0134125 0.37306213
8.231 8.222 0.18156433 1.1443939 0.34613037
8.251 8.242 0.27845764 1.1764069 0.3944702
8.293 8.262 0.17990112 0.9105835 0.3302002
8.295 8.282 0.022872925 0.5805969 0.2167511
8.311 8.302 -0.017532349 0.3510437 0.13508606
8.332 8.323 0.11338806 0.27616882 7.324219E-4
8.353 8.343 0.23878479 0.19981384 -0.066726685
8.370 8.363 0.1507721 0.009567261 -0.06163025
8.391 8.383 0.044525146 -0.002456665 -0.021011353
8.413 8.403 0.07217407 0.14828491 -0.064712524
8.437 8.423 0.16221619 0.29837036 -0.122039795
8.451 8.443 0.14146423 0.2979889 -0.08979797
8.472 8.464 0.093429565 0.24459839 -0.07305908
8.494 8.484 0.005874634 0.11985779 -0.12223816
8.513 8.504 -0.07394409 0.043899536 -0.18109131
8.531 8.524 -0.03703308 0.022750854 -0.23129272
8.551 8.544 -0.011734009 0.08592224 -0.22937012
8.571 8.564 -0.024368286 0.06315613 -0.12515259
